,basin_id,latitude,longitude,pax_strength,regions
379,2034,-19.6339,-43.9689,11231.948,South America
380,2035,-22.175,-51.4247,318.364,South America
381,2042,-23.4319,-46.4694,65933.862,South America
382,2051,44.8183,20.3092,6159.0,Europe
383,2056,33.9889,-98.4919,80.836,North America
384,2058,31.9425,-102.2019,1345.094,North America
385,2059,43.8789,-91.2567,194.808,North America
386,2060,30.7825,-83.2767,88.456,North America
387,2061,42.8808,-85.5228,3587.767,North America
388,2062,31.0672,-97.8289,353.438,North America
389,2063,40.9675,-98.3097,141.02,North America
390,2066,39.8442,-89.6778,150.982,North America
391,2071,30.4733,-87.1867,2236.294,North America
392,2073,34.6544,-112.4197,55.542,North America
393,2075,36.5869,-121.8431,467.99,North America
394,2076,30.4942,-81.6878,7212.883,North America
395,2078,32.8986,-80.0406,4871.864,North America
396,2082,42.4019,-90.7094,76.072,North America
397,2086,35.9525,-112.1469,501.98,North America
398,2093,40.8511,-96.7592,333.428,North America
399,2094,30.3578,-85.7989,1275.488,North America
400,2095,34.7083,-77.4397,327.406,North America
401,2098,32.1161,-110.9411,3785.677,North America
402,2099,36.1983,-95.8881,3053.584,North America
403,2100,41.1558,-104.8119,33.392,North America
404,2101,41.3792,-79.86,3.344,North America
405,2102,28.8525,-96.9186,11.468,North America
406,2103,44.7833,-89.6667,282.29,North America
407,2104,32.6567,-114.6061,200.96,North America
408,2105,45.8167,-88.1167,44.442,North America
409,2106,37.0603,-88.7731,35.964,North America
410,2109,40.2769,-74.8119,931.54,North America
411,2110,30.3917,-84.3497,830.544,North America
412,2111,40.9831,-85.1897,805.758,North America
413,2116,46.2667,-119.1167,876.03,North America
414,2118,30.6911,-88.2428,702.2,North America
415,2119,37.1519,-94.4983,96.01,North America
416,2120,33.6797,-78.9283,2611.563,North America
417,2121,41.5042,-74.1047,1014.646,North America
418,2123,44.7414,-85.5822,574.028,North America
419,2124,27.3956,-82.5544,1955.292,North America
420,2125,40.4914,-80.2328,9779.374,North America
421,2131,39.9408,-91.1944,20.152,North America
422,2133,28.1028,-80.6453,499.284,North America
423,2134,31.3214,-85.4497,117.726,North America
424,2135,37.8942,-121.2383,202.346,North America
425,2139,44.4719,-73.1533,1625.886,North America
426,2140,37.7514,-89.0167,22.27,North America
427,2141,26.6831,-80.0956,6901.681,North America
428,2143,41.3386,-75.7233,577.962,North America
429,2144,35.4361,-82.5419,1616.802,North America
430,2146,42.4025,-96.3844,94.232,North America
431,2149,37.9528,-107.9025,11.038,North America
432,2150,51.8811,-176.6483,6.318,North America
433,2152,40.7794,-91.1225,16.382,North America
434,2153,46.4033,-94.1297,45.102,North America
435,2159,40.7267,-99.0092,42.61,North America
436,2160,44.8658,-91.4842,48.536,North America
437,2164,34.4781,-93.0961,9.754,North America
438,2165,40.8506,-77.8472,394.38,North America
439,2170,40.0392,-88.2781,211.426,North America
440,2171,47.1683,-88.4892,49.908,North America
441,2172,42.2667,-71.8742,194.338,North America
442,2173,41.5342,-93.6578,2919.938,North America
443,2175,39.7172,-86.2944,9547.843,North America
444,2181,30.1944,-97.67,17343.785,North America
445,2182,38.2892,-104.4967,24.472,North America
446,2183,34.4261,-119.8403,998.791,North America
447,2184,37.6244,-118.8406,34.496,North America
448,2185,41.7047,-86.3131,832.524,North America
449,2187,30.4867,-86.52,1627.564,North America
450,2189,45.5467,-94.06,43.534,North America
451,2190,38.7486,-90.37,15889.501,North America
452,2191,38.5106,-122.8103,479.73,North America
453,2192,42.9656,-83.7436,607.988,North America
454,2195,27.9756,-82.5333,24247.19,North America
455,2197,36.2817,-94.3067,1783.032,North America
456,2201,60.5731,-151.245,192.872,North America
457,2202,36.5317,-93.1997,9.858,North America
458,2203,42.1981,-89.0992,233.98,North America
459,2204,33.6367,-84.4281,213019.506,North America
460,2206,44.4856,-88.1339,1468.194,North America
461,2209,40.2189,-111.7225,220.558,North America
462,2210,30.5886,-96.3638,167.7,North America
463,2211,48.1175,-123.4958,1.282,North America
464,2212,41.4117,-81.8497,10066.907,North America
465,2214,35.2139,-80.9431,50530.129,North America
466,2217,41.9786,-87.9047,105497.505,North America
467,2218,41.4486,-90.5075,711.262,North America
468,2222,34.6372,-86.775,1445.419,North America
469,2224,36.1244,-86.6783,18280.076,North America
470,2225,42.5511,-94.1919,17.1,North America
471,2227,38.8181,-92.2197,259.364,North America
472,2230,35.3367,-94.3675,183.92,North America
473,2233,41.2631,-80.6789,3.036,North America
474,2234,39.4992,-119.7681,4453.101,North America
475,2235,43.5294,-72.9497,10.976,North America
476,2236,29.69,-82.2717,546.668,North America
477,2241,38.1744,-85.7361,4087.068,North America
478,2243,38.8058,-104.7008,1656.858,North America
479,2244,43.5644,-116.2228,4115.506,North America
480,2245,43.5819,-96.7419,1152.714,North America
481,2247,37.3267,-79.2006,186.412,North America
482,2248,31.2589,-81.4664,82.198,North America
